ablation_group,alpha,beta,block,components,dataset_key,dataset_path,disabled_metadata,gamma,limit,max_new_tokens,metric_cancelled_retrieval_rate,metric_contradiction,metric_evidence_f1,metric_evidence_precision,metric_evidence_recall,metric_exact_accuracy,metric_exact_evidence_hit,metric_expired_retrieval_rate,metric_gen_sec,metric_invalid_retrieval_rate,metric_latency_sec,metric_n,metric_prompt_chars,metric_relaxed_accuracy,metric_retrieval_sec,metric_retrieved_chars,metric_retrieved_count,metric_superseded_retrieval_rate,model_key,model_path,note,regime,retriever,run_id,run_type,suite_status,suite_wall_sec,top_k
,0.6,0.3,A_main_retrieval,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.041333333333333326,,0.5768000000000001,0.439,0.9085,,0.0,0.20766666666666667,,0.37366666666666665,0.0013280758857727051,1000,,,,154.02,3.0,0.12466666666666666,,,Main retrieval-only baseline on TimeBound-Long,,semantic,A_tb_retrieval_main_semantic,retrieval,ok,1.611,3
,0.6,0.3,A_main_retrieval,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.0,,0.0,0.0,0.0,,0.0,0.3296666666666666,,0.3296666666666666,0.0011173052787780762,1000,,,,153.226,3.0,0.0,,,Main retrieval-only baseline on TimeBound-Long,,recency,A_tb_retrieval_main_recency,retrieval,ok,1.333,3
,0.6,0.3,A_main_retrieval,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.0,,0.2538,0.18133333333333332,0.453,,0.0,0.30666666666666664,,0.368,0.0011170639991760253,1000,,,,154.678,3.0,0.06133333333333333,,,Main retrieval-only baseline on TimeBound-Long,,semantic_recency,A_tb_retrieval_main_semantic_recency,retrieval,ok,1.332,3
,0.6,0.3,A_main_retrieval,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.0,,0.0,0.0,0.0,,0.0,0.3403333333333333,,0.3403333333333333,0.0011147112846374512,1000,,,,152.489,3.0,0.0,,,Main retrieval-only baseline on TimeBound-Long,,chronological,A_tb_retrieval_main_chronological,retrieval,ok,1.333,3
,0.6,0.3,A_main_retrieval,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.021333333333333333,,0.5415,0.41966666666666663,0.819,,0.0,0.025,,0.15166666666666664,0.0011502814292907715,1000,,,,158.156,3.0,0.10533333333333333,,,Main retrieval-only baseline on TimeBound-Long,,timebound,A_tb_retrieval_main_timebound,retrieval,ok,1.359,3
,0.6,0.3,A_main_retrieval,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.0625,,1.0,1.0,1.0,,1.0,0.125,,0.4375,4.803895950317383e-06,1000,,,,80.601,1.5,0.25,,,Main retrieval-only baseline on TimeBound-Long,,oracle,A_tb_retrieval_main_oracle,retrieval,ok,0.181,3
score_components,0.6,0.3,B_retrieval_ablations,semantic,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.04,,0.6108000000000001,0.4673333333333333,0.951,,0.0,0.19466666666666665,,0.35933333333333334,0.0011527366638183593,1000,,,,155.239,3.0,0.12466666666666666,,,TimeBound score-component ablation,,timebound_ablation,B_score_semantic_only,retrieval_ablation,ok,1.358,3
score_components,0.6,0.3,B_retrieval_ablations,temporal,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.041666666666666664,,0.5281,0.41233333333333333,0.785,,0.0,0.161,,0.3266666666666666,0.0011443967819213868,1000,,,,157.899,3.0,0.124,,,TimeBound score-component ablation,,timebound_ablation,B_score_temporal_only,retrieval_ablation,ok,1.352,3
score_components,0.6,0.3,B_retrieval_ablations,status,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.0,,0.3362,0.261,0.5065,,0.0,0.0,,0.0,0.001155022621154785,1000,,,,160.195,3.0,0.0,,,TimeBound score-component ablation,,timebound_ablation,B_score_status_only,retrieval_ablation,ok,1.363,3
score_components,0.6,0.3,B_retrieval_ablations,semantic+temporal,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.041666666666666664,,0.6441,0.496,0.9885,,0.0,0.18266666666666664,,0.34933333333333333,0.001161872148513794,1000,,,,157.011,3.0,0.125,,,TimeBound score-component ablation,,timebound_ablation,B_score_semantic_temporal,retrieval_ablation,ok,1.371,3
score_components,0.6,0.3,B_retrieval_ablations,semantic+status,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.0,,0.4392,0.333,0.6975,,0.0,0.04,,0.049666666666666665,0.0011530759334564208,1000,,,,158.168,3.0,0.009666666666666665,,,TimeBound score-component ablation,,timebound_ablation,B_score_semantic_status,retrieval_ablation,ok,1.357,3
score_components,0.6,0.3,B_retrieval_ablations,temporal+status,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.01633333333333333,,0.42010000000000003,0.329,0.62,,0.0,0.08666666666666666,,0.15466666666666665,0.001159585952758789,1000,,,,159.537,3.0,0.051666666666666666,,,TimeBound score-component ablation,,timebound_ablation,B_score_temporal_status,retrieval_ablation,ok,1.362,3
score_components,0.6,0.3,B_retrieval_ablations,semantic+temporal+status,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.021333333333333333,,0.5415,0.41966666666666663,0.819,,0.0,0.025,,0.15166666666666664,0.0011644861698150634,1000,,,,158.156,3.0,0.10533333333333333,,,TimeBound score-component ablation,,timebound_ablation,B_score_full_timebound,retrieval_ablation,ok,1.375,3
metadata_removal,0.6,0.3,B_retrieval_ablations,semantic+temporal+status,timebound_long,synthetic/timebound_long.jsonl,status,0.3,,64,0.041666666666666664,,0.6441,0.496,0.9885,,0.0,0.18266666666666664,,0.34933333333333333,0.0011667048931121827,1000,,,,157.011,3.0,0.125,,,TimeBound metadata-removal ablation,,timebound_ablation,B_metadata_no_status,retrieval_ablation,ok,1.379,3
metadata_removal,0.6,0.3,B_retrieval_ablations,semantic+temporal+status,timebound_long,synthetic/timebound_long.jsonl,valid_interval,0.3,,64,0.0,,0.4392,0.333,0.6975,,0.0,0.04,,0.049666666666666665,0.0007052085399627685,1000,,,,158.168,3.0,0.009666666666666665,,,TimeBound metadata-removal ablation,,timebound_ablation,B_metadata_no_valid_interval,retrieval_ablation,ok,0.906,3
metadata_removal,0.6,0.3,B_retrieval_ablations,semantic+temporal+status,timebound_long,synthetic/timebound_long.jsonl,event_time,0.3,,64,0.021333333333333333,,0.5415,0.41966666666666663,0.819,,0.0,0.025,,0.15166666666666664,0.0011447789669036866,1000,,,,158.156,3.0,0.10533333333333333,,,TimeBound metadata-removal ablation,,timebound_ablation,B_metadata_no_event_time,retrieval_ablation,ok,1.347,3
metadata_removal,0.6,0.3,B_retrieval_ablations,semantic+temporal+status,timebound_long,synthetic/timebound_long.jsonl,observation_time,0.3,,64,0.021333333333333333,,0.5415,0.41966666666666663,0.819,,0.0,0.025,,0.15166666666666664,0.0009095027446746827,1000,,,,158.156,3.0,0.10533333333333333,,,TimeBound metadata-removal ablation,,timebound_ablation,B_metadata_no_observation_time,retrieval_ablation,ok,1.108,3
metadata_removal,0.6,0.3,B_retrieval_ablations,semantic+temporal+status,timebound_long,synthetic/timebound_long.jsonl,relation_links,0.3,,64,0.021333333333333333,,0.5415,0.41966666666666663,0.819,,0.0,0.025,,0.15166666666666664,0.0012003860473632812,1000,,,,158.156,3.0,0.10533333333333333,,,TimeBound metadata-removal ablation,,timebound_ablation,B_metadata_no_relation_links,retrieval_ablation,ok,1.412,3
metadata_removal,0.6,0.3,B_retrieval_ablations,semantic+temporal+status,timebound_long,synthetic/timebound_long.jsonl,query_time,0.3,,64,0.0,,0.4392,0.333,0.6975,,0.0,0.04,,0.049666666666666665,0.0007009253501892089,1000,,,,158.168,3.0,0.009666666666666665,,,TimeBound metadata-removal ablation,,timebound_ablation,B_metadata_no_query_time,retrieval_ablation,ok,0.901,3
metadata_removal,0.6,0.3,B_retrieval_ablations,semantic+temporal+status,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.021333333333333333,,0.5415,0.41966666666666663,0.819,,0.0,0.025,,0.15166666666666664,0.0011714851856231688,1000,,,,158.156,3.0,0.10533333333333333,,,TimeBound metadata-removal ablation,,timebound_ablation,B_metadata_full_metadata,retrieval_ablation,ok,1.378,3
topk_sensitivity,0.6,0.3,B_retrieval_ablations,semantic+temporal+status,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.0,,0.668,0.829,0.5875,,0.346,0.0,,0.096,0.0011527163982391357,1000,,,,58.347,1.0,0.096,,,Top-k sensitivity for TimeBound retrieval,,timebound,B_topk_k1,retrieval_ablation,ok,1.355,1
topk_sensitivity,0.6,0.3,B_retrieval_ablations,semantic+temporal+status,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.021333333333333333,,0.5415,0.41966666666666663,0.819,,0.0,0.025,,0.15166666666666664,0.0011478474140167237,1000,,,,158.156,3.0,0.10533333333333333,,,Top-k sensitivity for TimeBound retrieval,,timebound,B_topk_k3,retrieval_ablation,ok,1.349,3
topk_sensitivity,0.6,0.3,B_retrieval_ablations,semantic+temporal+status,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.022,,0.41266666666666674,0.2756,0.888,,0.0,0.065,,0.161,0.0011482045650482177,1000,,,,259.437,5.0,0.074,,,Top-k sensitivity for TimeBound retrieval,,timebound,B_topk_k5,retrieval_ablation,ok,1.353,5
topk_sensitivity,0.6,0.3,B_retrieval_ablations,semantic+temporal+status,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.017857142857142856,,0.33025,0.20457142857142854,0.9325,,0.0,0.08385714285714285,,0.15514285714285714,0.0011510107517242432,1000,,,,360.806,7.0,0.05342857142857142,,,Top-k sensitivity for TimeBound retrieval,,timebound,B_topk_k7,retrieval_ablation,ok,1.359,7
,0.6,0.3,C_main_llm_timebound,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.003861975969592814,0.0,0.09798022071982743,0.051835974933382586,1.0,0.0,0.0,0.3192527050675885,0.29091225218772887,0.3348321037396553,,1000,5361.88,0.0,1.9671916961669923e-05,1527.373,29.807,0.011717422702473944,qwen25_coder_1p5b,models/Qwen__Qwen2.5-Coder-1.5B-Instruct,Main local LLM reader run on TimeBound-Long,full_history,,C_llm_timebound_qwen25_coder_1p5b_full_history,llm,ok,305.133,3
,0.6,0.3,C_main_llm_timebound,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.041333333333333326,0.0,0.5768000000000001,0.439,0.9085,0.0,0.0,0.20766666666666667,0.27459774470329285,0.37366666666666665,,1000,984.798,0.0,0.0015440309047698975,154.02,3.0,0.12466666666666666,qwen25_coder_1p5b,models/Qwen__Qwen2.5-Coder-1.5B-Instruct,Main local LLM reader run on TimeBound-Long,semantic_rag,,C_llm_timebound_qwen25_coder_1p5b_semantic_rag,llm,ok,282.495,3
,0.6,0.3,C_main_llm_timebound,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3296666666666666,0.23311684107780456,0.3296666666666666,,1000,988.292,0.0,0.0012749691009521485,153.226,3.0,0.0,qwen25_coder_1p5b,models/Qwen__Qwen2.5-Coder-1.5B-Instruct,Main local LLM reader run on TimeBound-Long,recency_rag,,C_llm_timebound_qwen25_coder_1p5b_recency_rag,llm,ok,238.112,3
,0.6,0.3,C_main_llm_timebound,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.0,0.0,0.2538,0.18133333333333332,0.453,0.0,0.0,0.30666666666666664,0.2649975776672363,0.368,,1000,990.036,0.0,0.0015686538219451904,154.678,3.0,0.06133333333333333,qwen25_coder_1p5b,models/Qwen__Qwen2.5-Coder-1.5B-Instruct,Main local LLM reader run on TimeBound-Long,semantic_recency_rag,,C_llm_timebound_qwen25_coder_1p5b_semantic_recency_rag,llm,ok,270.548,3
,0.6,0.3,C_main_llm_timebound,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.021333333333333333,0.0,0.5415,0.41966666666666663,0.819,0.0,0.0,0.025,0.2674611864089966,0.15166666666666664,,1000,981.421,0.0,0.0016649391651153565,158.156,3.0,0.10533333333333333,qwen25_coder_1p5b,models/Qwen__Qwen2.5-Coder-1.5B-Instruct,Main local LLM reader run on TimeBound-Long,timebound_rag,,C_llm_timebound_qwen25_coder_1p5b_timebound_rag,llm,ok,273.436,3
,0.6,0.3,C_main_llm_timebound,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.0625,0.0,1.0,1.0,1.0,0.0,1.0,0.125,0.2652359848022461,0.4375,,1000,743.257,0.0,1.572561264038086e-05,80.601,1.5,0.25,qwen25_coder_1p5b,models/Qwen__Qwen2.5-Coder-1.5B-Instruct,Main local LLM reader run on TimeBound-Long,oracle_evidence,,C_llm_timebound_qwen25_coder_1p5b_oracle_evidence,llm,ok,268.909,3
,0.6,0.3,C_main_llm_timebound,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.003861975969592814,0.0,0.09798022071982743,0.051835974933382586,1.0,0.0,0.0,0.3192527050675885,0.4798037540912628,0.3348321037396553,,1000,5361.88,0.0,2.233266830444336e-05,1527.373,29.807,0.011717422702473944,qwen25_coder_7b,models/Qwen__Qwen2.5-Coder-7B-Instruct,Main local LLM reader run on TimeBound-Long,full_history,,C_llm_timebound_qwen25_coder_7b_full_history,llm,ok,496.335,3
,0.6,0.3,C_main_llm_timebound,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.041333333333333326,0.0,0.5768000000000001,0.439,0.9085,0.0,0.0,0.20766666666666667,0.29954226517677307,0.37366666666666665,,1000,984.798,0.0,0.0015410985946655274,154.02,3.0,0.12466666666666666,qwen25_coder_7b,models/Qwen__Qwen2.5-Coder-7B-Instruct,Main local LLM reader run on TimeBound-Long,semantic_rag,,C_llm_timebound_qwen25_coder_7b_semantic_rag,llm,ok,311.404,3
,0.6,0.3,C_main_llm_timebound,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3296666666666666,0.4410186166763306,0.3296666666666666,,1000,988.292,0.0,0.0015336215496063233,153.226,3.0,0.0,qwen25_coder_7b,models/Qwen__Qwen2.5-Coder-7B-Instruct,Main local LLM reader run on TimeBound-Long,recency_rag,,C_llm_timebound_qwen25_coder_7b_recency_rag,llm,ok,452.555,3
,0.6,0.3,C_main_llm_timebound,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.0,0.0,0.2538,0.18133333333333332,0.453,0.0,0.0,0.30666666666666664,0.36971779584884645,0.368,,1000,990.036,0.0,0.0016684308052062988,154.678,3.0,0.06133333333333333,qwen25_coder_7b,models/Qwen__Qwen2.5-Coder-7B-Instruct,Main local LLM reader run on TimeBound-Long,semantic_recency_rag,,C_llm_timebound_qwen25_coder_7b_semantic_recency_rag,llm,ok,383.026,3
,0.6,0.3,C_main_llm_timebound,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.021333333333333333,0.0,0.5415,0.41966666666666663,0.819,0.0,0.0,0.025,0.5043903901576996,0.15166666666666664,,1000,981.421,0.0,0.0017783377170562744,158.156,3.0,0.10533333333333333,qwen25_coder_7b,models/Qwen__Qwen2.5-Coder-7B-Instruct,Main local LLM reader run on TimeBound-Long,timebound_rag,,C_llm_timebound_qwen25_coder_7b_timebound_rag,llm,ok,520.883,3
,0.6,0.3,C_main_llm_timebound,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.0625,0.0,1.0,1.0,1.0,0.0,1.0,0.125,0.489736300945282,0.4375,,1000,743.257,0.0,2.4037599563598632e-05,80.601,1.5,0.25,qwen25_coder_7b,models/Qwen__Qwen2.5-Coder-7B-Instruct,Main local LLM reader run on TimeBound-Long,oracle_evidence,,C_llm_timebound_qwen25_coder_7b_oracle_evidence,llm,ok,499.598,3
,0.6,0.3,C_main_llm_timebound,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.003861975969592814,0.0,0.09798022071982743,0.051835974933382586,1.0,0.0,0.0,0.3192527050675885,0.8571392509937287,0.3348321037396553,,1000,5361.88,0.0,2.069687843322754e-05,1527.373,29.807,0.011717422702473944,qwen25_7b,models/Qwen__Qwen2.5-7B-Instruct,Main local LLM reader run on TimeBound-Long,full_history,,C_llm_timebound_qwen25_7b_full_history,llm,ok,877.37,3
,0.6,0.3,C_main_llm_timebound,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.041333333333333326,0.0,0.5768000000000001,0.439,0.9085,0.0,0.0,0.20766666666666667,0.4823257308006287,0.37366666666666665,,1000,984.798,0.0,0.0015065348148345947,154.02,3.0,0.12466666666666666,qwen25_7b,models/Qwen__Qwen2.5-7B-Instruct,Main local LLM reader run on TimeBound-Long,semantic_rag,,C_llm_timebound_qwen25_7b_semantic_rag,llm,ok,493.319,3
,0.6,0.3,C_main_llm_timebound,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3296666666666666,0.9894226355552673,0.3296666666666666,,1000,988.292,0.0,0.0016022167205810547,153.226,3.0,0.0,qwen25_7b,models/Qwen__Qwen2.5-7B-Instruct,Main local LLM reader run on TimeBound-Long,recency_rag,,C_llm_timebound_qwen25_7b_recency_rag,llm,ok,1000.592,3
,0.6,0.3,C_main_llm_timebound,,timebound_long,synthetic/timebound_long.jsonl,,0.3,,64,0.0,0.0,0.2538,0.18133333333333332,0.453,0.0,0.0,0.30666666666666664,0.6651541454792023,0.368,,1000,990.036,0.0,0.0015911729335784913,154.678,3.0,0.06133333333333333,qwen25_7b,models/Qwen__Qwen2.5-7B-Instruct,Main local LLM reader run on TimeBound-Long,semantic_recency_rag,,C_llm_timebound_qwen25_7b_semantic_recency_rag,llm,ok,677.386,3
